//X;Y;Z;C2C absolute distances;Nx;Ny;Nz
409.23;163.36;22.72;0.22;0.878012;-0.106383;0.466666
407.08;157.72;25.74;0.14;0.700320;-0.240784;0.671993
406.88;157.41;25.88;0.18;0.516782;-0.266978;0.813424
409.62;164.77;22.32;0.22;0.678909;-0.107975;0.726240
407.16;158.25;25.89;0.10;0.755431;-0.253913;0.604030
409.65;165.13;22.31;0.13;0.644606;-0.159256;0.747743
407.19;158.54;26.04;0.18;0.704880;-0.241268;0.667034
402.61;147.69;27.43;0.13;0.562083;-0.400546;0.723620
409.30;164.51;22.79;0.25;0.838365;-0.040319;0.543616
409.50;165.35;22.57;0.20;0.714418;-0.146508;0.684210
408.75;163.16;24.36;0.13;0.636440;-0.148954;0.756807
407.07;158.82;26.19;0.11;0.595143;-0.222208;0.772288
406.94;158.51;26.24;0.18;0.528932;-0.263686;0.806660
409.59;165.97;22.57;0.21;0.683948;-0.083124;0.724780
408.71;163.46;24.39;0.07;0.641129;-0.212675;0.737376
410.04;167.55;22.15;0.23;0.755705;-0.041117;0.653621
407.28;160.06;26.38;0.11;0.751201;-0.216184;0.623668
406.85;159.07;26.42;0.23;0.500563;-0.231147;0.834271
409.70;167.14;22.70;0.21;0.718460;-0.064791;0.692544
409.57;166.82;22.79;0.15;0.738825;-0.079834;0.669152
407.26;160.47;26.58;0.10;0.725995;-0.175767;0.664859
407.14;160.16;26.65;0.16;0.619203;-0.247366;0.745250
410.25;170.52;21.76;0.11;0.842770;0.045969;0.536308
410.15;170.20;22.05;0.17;0.801967;0.076036;0.592509
406.92;161.30;27.08;0.23;0.586212;-0.278014;0.760963
405.23;156.82;28.93;0.19;0.289528;-0.415143;0.862456
410.15;170.94;21.92;0.08;0.821112;0.040566;0.569323
409.54;169.22;22.98;0.17;0.754181;-0.023787;0.656236
406.78;161.53;27.44;0.23;0.557554;-0.227037;0.798491
407.37;163.63;27.45;0.15;0.648384;-0.261573;0.714967
410.05;173.03;21.99;0.23;0.843735;0.009511;0.536675
409.74;172.13;22.58;0.16;0.843320;0.004061;0.537396
407.35;165.01;27.82;0.11;0.613758;-0.168215;0.771365
405.26;159.42;30.13;0.17;0.454158;-0.328440;0.828171
409.74;173.04;22.45;0.16;0.857729;0.001342;0.514100
408.83;170.16;25.01;0.08;0.565033;0.012313;0.824976
407.08;165.15;27.96;0.25;0.538569;-0.209020;0.816244
410.05;175.79;21.49;0.10;0.869694;0.103908;0.482531
